Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels],Part_ID,Num_voids
img01.bmp,top_left,part,0,39196,4020.762,0.148,-1.279,0.777,0.761,276.801,273.771,223.396,1,41
img01.bmp,bottom_left,part,0,38727,4085.992,0.156,-1.292,0.768,0.752,277.998,274.603,222.056,2,41
img01.bmp,top_right,part,0,38915,3932.11,0.186,-1.541,0.78,0.762,276.015,271.213,222.594,3,44
img01.bmp,bottom_right,part,0,38849,4035.011,0.157,-1.079,0.773,0.754,276.722,273.296,222.405,4,48
img02.bmp,top_left,part,0,37982,4103.85,0.113,-0.777,0.754,0.737,278.17,276.381,219.909,5,41
img02.bmp,bottom_left,part,0,37939,4181.691,0.106,-0.66,0.751,0.733,279.056,277.499,219.785,6,42
img02.bmp,top_right,part,0,37702,4287.402,0.058,-1.047,0.752,0.735,277.065,276.598,219.097,7,48
img02.bmp,bottom_right,part,0,38364,4028.211,0.119,-0.884,0.762,0.745,277.273,275.294,221.013,8,43
img03.bmp,top_left,part,0,38882,4029.666,0.131,-1.352,0.773,0.755,276.184,273.8,222.5,9,43
img03.bmp,bottom_left,part,0,38817,4027.809,0.113,-0.932,0.77,0.753,276.361,274.599,222.314,10,42
img03.bmp,top_right,part,0,38443,4111.798,0.13,1.539,0.773,0.756,274.949,272.622,221.24,11,45
img03.bmp,bottom_right,part,0,38312,4136.686,0.145,-1.194,0.764,0.747,276.836,273.914,220.863,12,44
img04.bmp,top_left,part,0,38237,4084.323,0.112,-0.669,0.759,0.742,277.835,276.077,220.646,13,44
img04.bmp,bottom_left,part,0,36607,4281.74,0.122,-0.506,0.728,0.71,280.759,278.671,215.892,14,42
img04.bmp,top_right,part,0,37130,4359.272,0.043,-0.222,0.743,0.727,277.334,277.082,217.429,15,47
img04.bmp,bottom_right,part,0,37881,4196.034,0.136,-0.459,0.754,0.738,278.472,275.868,219.617,16,45
img05.bmp,top_left,part,0,37635,4223.247,0.086,-0.544,0.746,0.73,278.986,277.956,218.903,17,43
img05.bmp,bottom_left,part,0,38325,4182.419,0.112,-0.423,0.754,0.737,279.165,277.417,220.9,18,42
img05.bmp,top_right,part,0,36606,4347.514,0.088,1.172,0.739,0.723,277.159,276.08,215.889,19,47
img05.bmp,bottom_right,part,0,37159,4250.603,0.142,-0.179,0.744,0.728,278.69,275.849,217.514,20,44
img06.bmp,top_left,part,0,39843,3879.098,0.134,-1.227,0.783,0.766,277.386,274.902,225.233,21,41
img06.bmp,bottom_left,part,0,39545,3966.051,0.106,-1.007,0.775,0.757,277.702,276.15,224.389,22,42
img06.bmp,top_right,part,0,39673,3963.809,0.169,-1.546,0.783,0.763,277.312,273.322,224.751,23,45
img06.bmp,bottom_right,part,0,39949,3782.73,0.16,-1.299,0.787,0.769,277.501,273.94,225.532,24,39
img07.bmp,top_left,part,0,39413,3953.098,0.146,-1.309,0.777,0.758,277.569,274.606,224.014,25,42
img07.bmp,bottom_left,part,0,38119,4127.164,0.114,-1.115,0.754,0.737,278.71,276.892,220.306,26,42
img07.bmp,top_right,part,0,38941,4009.886,0.083,1.399,0.779,0.762,274.491,273.551,222.668,27,46
img07.bmp,bottom_right,part,0,38875,3917.181,0.142,-1.243,0.773,0.754,276.985,274.169,222.48,28,40
img08.bmp,top_left,part,0,36573,4170.845,0.117,-0.669,0.736,0.722,278.836,276.906,215.792,29,41
img08.bmp,bottom_left,part,0,38598,4134.946,0.148,-1.11,0.762,0.746,279.396,276.305,221.686,30,42
img08.bmp,top_right,part,0,38593,4129.147,0.098,-1.508,0.767,0.749,276.517,275.18,221.671,31,47
img08.bmp,bottom_right,part,0,38735,4077.875,0.125,-0.692,0.766,0.748,277.686,275.493,222.079,32,45
img09.bmp,top_left,part,0,39048,4000.595,0.107,-0.772,0.772,0.754,277.132,275.544,222.974,33,42
img09.bmp,bottom_left,part,0,38777,4165.816,0.122,-1.043,0.76,0.743,279.02,276.936,222.199,34,41
img09.bmp,top_right,part,0,38454,4035.223,0.09,-1.474,0.77,0.753,275.469,274.36,221.272,35,46
img09.bmp,bottom_right,part,0,39091,3903.282,0.136,-1.143,0.774,0.755,277.035,274.47,223.097,36,41
img10.bmp,top_left,part,0,38049,4168.318,0.12,-0.559,0.754,0.738,278.754,276.738,220.103,37,42
img10.bmp,bottom_left,part,0,37374,4276.301,0.145,-0.228,0.742,0.725,279.623,276.67,218.142,38,41
img10.bmp,top_right,part,0,37542,4305.573,0.071,-1.447,0.752,0.735,276.588,275.887,218.632,39,47
img10.bmp,bottom_right,part,0,37526,4283.473,0.129,-0.477,0.747,0.731,279.099,276.761,218.585,40,46
