x1,x2,x3,x4,x5
0.473,0.405,0.213,3.187,0.572
0.43,2.623,1.415,0.915,2.933
0.148,1.938,1.057,2.019,1.256
5.209,0.211,1.047,0.492,0.388
0.308,0.536,0.57,2.951,1.741
0.539,0.229,1.969,0.449,0.461
3.763,0.5,0.954,0.407,1.25
0.705,0.571,1.038,0.88,0.607
13.915,0.3,2.812,1.735,0.644
0.666,0.961,0.659,6.59,0.984
1.223,1.59,0.828,0.2,0.668
0.532,0.343,2.47,8.159,0.996
0.721,0.029,1.392,1.073,0.235
0.605,1.185,1.706,0.339,3.455
1.114,0.323,1.054,0.303,0.716
2.535,2.381,2.087,0.463,0.301
2.365,0.576,0.68,1.028,0.603
0.831,0.994,1.175,0.867,8.31
1.937,1.553,0.415,2.581,1.361
4.969,0.449,0.424,0.457,0.57
0.84,0.323,1.843,2.316,0.36
0.852,0.176,0.556,0.988,0.248
0.271,0.517,0.592,1.104,0.544
1.08,0.344,0.177,0.716,3.526
0.805,1.162,1.306,0.733,0.359
